question_number,year,exam,subject,topic,subtopic,question_text,option_1,option_2,option_3,option_4,answer,subject_clean,topic_clean,topics,label_source,concept,ask_type,secondary_subjects,source,answer_note,ocr_page,option_5,option_6,option_7,option_8,shift,year_hint
134,2011,AIPGMEE,Community Medicine,Health Indicators,Maternal mortality rate denominator,What is the denominator used in calculating the maternal mortality rate (ratio)?,Total number of live births,Total number of married women,Total number of births,Midyear population,,Community Medicine,Health Indicators,"['Health Indicators', 'Biostatistics', 'Maternal Health']",llm,Maternal mortality rate calculation,other,['OBG'],collegedunia,,,,,,,,
135,2011,AIPGMEE,Community Medicine,Sampling Methods,Stratified random sampling,A population is divided into relevant subgroups and samples are selected randomly from each of these subgroups. What type of sampling is this?,Simple random sampling,Stratified sampling,Cluster sampling,Systematic sampling,,Community Medicine,Sampling Methods,"['Sampling Methods', 'Biostatistics', 'Research Methodology']",llm,Types of sampling,other,[],collegedunia,,,,,,,,
136,2011,AIPGMEE,Community Medicine,Measures Of Skewness,Pearson's coefficient formula,Pearson's coefficient of skewness is given by which of the following formulae?,,,SD /,SD /,,Community Medicine,Measures Of Skewness,"['Measures of Skewness', 'Biostatistics', 'Data Analysis']",llm,Pearson skewness formula,other,[],collegedunia,,,,,,,,
137,2011,AIPGMEE,Community Medicine,Health Indicators,Human Development Index,"Regarding the Human Development Index (HDI), all of the following are components EXCEPT:",Life expectancy at birth,Life expectancy at 1 year of age,Education,GDP,,Community Medicine,Health Indicators,"['Public Health', 'Health Indicators', 'Epidemiology']",llm,HDI components exclusion,other,[],collegedunia,,,,,,,,
138,2011,AIPGMEE,Community Medicine,Food Hygiene,Pasteurization efficiency test,The efficiency of pasteurisation of milk is assessed by which of the following tests?,Phosphatase test,Methylene blue test,Catalase test,Oxidase test,,Community Medicine,Food Hygiene,"['Food Hygiene', 'Food Safety', 'Public Health']",llm,Milk pasteurization assessment test,investigation,['Microbiology'],collegedunia,,,,,,,,
139,2011,AIPGMEE,Biochemistry,Fatty Acids,Cardioprotective fatty acid,Which among the following is a cardioprotective fatty acid?,Palmitic acid,Stearic acid,Oleic acid,Omega-3 fatty acids,,Biochemistry,Fatty Acids,"['Fatty Acids', 'Lipid Metabolism', 'Vitamins & Nutrition']",llm,Omega-3 cardioprotective role,other,"['Physiology', 'Medicine']",collegedunia,,,,,,,,
140,2011,AIPGMEE,Community Medicine,Mosquito Control,Non-deliberate mosquito control,Which is a non-deliberate measure for control of mosquitoes?,Use of alkalinity-causing soaps,Efforts by the community to prevent development of an environment suitable for,Use of larvicides,Use of bed nets against mosquitoes,,Community Medicine,Mosquito Control,"['Mosquito Control', 'Vector Control', 'Environmental Health']",llm,Mosquito control non-deliberate measure,management,[],collegedunia,,,,,,,,
141,2011,AIPGMEE,Community Medicine,Japanese Encephalitis,Japanese encephalitis epidemiology,Which of the following is FALSE regarding Japanese encephalitis?,"During epidemics, 2 to 3 cases are seen in a village",A bite from an infected mosquito is always associated with disease,About 70% of patients are children below 5 years of age,The overt disease to inapparent infection ratio is 1:100,,Community Medicine,Japanese Encephalitis,"['Japanese Encephalitis', 'Infectious Diseases', 'Epidemiology']",llm,Japanese encephalitis false statement,other,"['Microbiology', 'Pediatrics']",collegedunia,,,,,,,,
142,2011,AIPGMEE,Community Medicine,Vector-Borne Diseases,Arthropod-transmitted diseases in India,Which arthropod-transmitted disease is NOT found in India?,West Nile fever,Dengue,Yellow fever,Sandfly fever,,Community Medicine,Vector-Borne Diseases,"['Epidemiology', 'Infectious Diseases', 'Vector-borne Diseases']",llm,Arthropod-borne disease not in India,epidemiology,['Microbiology'],collegedunia,,,,,,,,
143,2011,AIPGMEE,Community Medicine,Mortality Indicators,Acute illness indicator,The most useful indicator for an acute illness is:,Case fatality rate,Standardized mortality ratio,Cause-specific death rate,Five-year survival rate,,Community Medicine,Mortality Indicators,"['Mortality Indicators', 'Epidemiology', 'Health Indicators']",llm,Acute illness best indicator,epidemiology,[],collegedunia,,,,,,,,
144,2011,AIPGMEE,Community Medicine,Standardization Of Rates,Direct standardization reason,Direct standardisation is used to compare the mortality rates between two countries. This is done because of the difference in:,Causes of death,Numerators,Age distribution,Denominators,,Community Medicine,Standardization Of Rates,"['Standardization of Rates', 'Biostatistics', 'Epidemiology']",llm,Direct standardization age distribution,epidemiology,[],collegedunia,,,,,,,,
145,2011,AIPGMEE,Anatomy,Head And Neck Anatomy,Paranasal sinus cells,"Onodi cells and Haller cells are associated with the following structures, respectively:",Optic nerve and orbital floor,Optic nerve and internal carotid artery,Optic nerve and ethmoidal air cells,Orbital floor and internal carotid artery,,Anatomy,Head And Neck Anatomy,"['Head and Neck Anatomy', 'Neuroanatomy', 'Environment & Occupational Health']",llm,Onodi Haller cells association,anatomy_structure,[],collegedunia,,,,,,,,
146,2011,AIPGMEE,Anatomy,Head And Neck Anatomy,Ethmoid sinus innervation,Pain sensation from the ethmoid sinus is carried by:,Frontal nerve,Lacrimal nerve,Nasociliary nerve,Infraorbital nerve,,Anatomy,Head And Neck Anatomy,"['Head and Neck Anatomy', 'Neuroanatomy', 'Environment & Occupational Health']",llm,Ethmoid sinus pain nerve,anatomy_structure,[],collegedunia,,,,,,,,
147,2011,AIPGMEE,Medicine,Airway Management,Foreign body aspiration,"A 5 year old boy, while having dinner, suddenly becomes aphonic and is brought to the casualty with respiratory distress. What should be the next step in management?",Cricothyroidotomy,Emergency tracheostomy,Humidified oxygen,Heimlich maneuver,,Medicine,Airway Management,"['Airway Management', 'Emergency Medicine', 'Neonatology']",llm,Child airway obstruction management,management,"['Pediatrics', 'ENT']",collegedunia,,,,,,,,
148,2011,AIPGMEE,ENT,Otology,Acoustic neuroma location,Acoustic neuroma most commonly involves which structure?,Superior vestibular division of the 8th cranial nerve,Auditory,7th cranial nerve,Inferior vestibular division of the 8th cranial nerve,,ENT,Otology,"['Otology', 'Environment & Occupational Health', 'Neuroanatomy']",llm,Vestibular schwannoma nerve involvement,anatomy_structure,['Anatomy'],collegedunia,,,,,,,,
149,2011,AIPGMEE,ENT,Pharyngology,Tonsillectomy hemorrhage timing,What is the usual time of occurrence of secondary hemorrhage after tonsillectomy?,24 hours,12 hours,6 days,12 days,,ENT,Pharyngology,"['Pharyngology', 'Environment & Occupational Health', 'General Surgery']",llm,Secondary post-tonsillectomy bleed,other,['Surgery'],collegedunia,,,,,,,,
150,2011,AIPGMEE,ENT,Oral Cavity Lesions,Ranula characteristics,Which of the following is true regarding a ranula?,It is also known as epulis,It is a cystic swelling in the floor of the mouth,It is a type of thyroglossal cyst,It is a type of mucus retention cyst,,ENT,Oral Cavity Lesions,"['Oral Cavity Lesions', 'Environment & Occupational Health', 'General Surgery']",llm,Ranula definition features,diagnosis,['Surgery'],collegedunia,,,,,,,,
151,2011,AIPGMEE,Pharmacology,Otosclerosis Treatment,Sodium fluoride in otosclerosis,All of the following are true statements regarding the use of sodium fluoride in the treatment of otosclerosis EXCEPT:,It inhibits osteoblastic activity,It is used in the active phase of otosclerosis when the Schwartze sign is positive,It has an antienzymatic action on proteolytic enzymes toxic to the cochlea,It is contraindicated in renal failure patients,,Pharmacology,Otosclerosis Treatment,"['Otosclerosis Treatment', 'Endocrine Pharmacology', 'Environment & Occupational Health']",llm,Sodium fluoride otosclerosis mechanism,mechanism,['ENT'],collegedunia,,,,,,,,
152,2011,AIPGMEE,ENT,Otology,Endolymphatic hydrops association,Endolymphatic hydrops is seen in which condition?,Meniere's disease,Otosclerosis,Acoustic neuroma,Cholesteatoma,,ENT,Otology,"['Otology', 'Environment & Occupational Health', 'Systemic Pathology']",llm,Meniere's disease pathology,diagnosis,['Pathology'],collegedunia,,,,,,,,
153,2011,AIPGMEE,Ophthalmology,Pupil Disorders,Argyll Robertson pupil,All of the following are seen in Argyll Robertson pupil EXCEPT:,Near reflex normal,Direct light reflex absent,Consensual light reflex normal,Visual acuity normal,,Ophthalmology,Pupil Disorders,"['Neuro-ophthalmology', 'Pupil disorders']",llm,Argyll Robertson pupil features,diagnosis,['Medicine'],collegedunia,,,,,,,,
154,2011,AIPGMEE,Ophthalmology,Macular Disorders,Central vision loss,A young patient presents to the ophthalmology clinic with loss of central vision. There is no obvious family history. The electroretinogram (ERG) was observed to be normal. Which is the most probable diagnosis?,Best's disease,Stargardt's disease,Retinitis pigmentosa,Macular hole,,Ophthalmology,Macular Disorders,"['Macular disorders', 'Retina', 'Macular degeneration']",llm,Central vision loss ERG normal,diagnosis,['Pediatrics'],collegedunia,,,,,,,,
155,2011,AIPGMEE,Ophthalmology,Ocular Motility Disorders,Trochlear nerve palsy,Damage to the nerve supplying the superior oblique muscle causes diplopia in which direction?,Horizontal and downwards,Vertical and downwards,Horizontal and upwards,Vertical and upwards,,Ophthalmology,Ocular Motility Disorders,"['Ocular motility disorders', 'Neuro-ophthalmology', 'Ocular motility']",llm,Superior oblique nerve damage diplopia,mechanism,['Anatomy'],collegedunia,,,,,,,,
156,2011,AIPGMEE,Ophthalmology,Infectious Diseases,Orbital complications of sinusitis,"A patient had a running nose and pain over the medial aspect of the eye and was being treated with decongestants for many days. He later developed chemosis, proptosis and diplopia on abduction of the right eye with congestion of the optic disc. What is the probable diagnosis?",Acute ethmoidal sinusitis,Orbital cellulitis,Cavernous sinus thrombosis,Orbital apex syndrome,,Ophthalmology,Infectious Diseases,"['Infectious Diseases', 'Neuro-ophthalmology']",llm,Sinusitis complications orbital signs,diagnosis,"['ENT', 'Medicine']",collegedunia,,,,,,,,
157,2011,AIPGMEE,Ophthalmology,Retinoblastoma,Retinoblastoma management,"A 5-year-old boy presented with leukocoria in the right eyeball, which is diagnosed as diffuse retinoblastoma involving the entire globe, while the other eye had 2 to 3 small lesions in the periphery. What will be the ideal management for this patient?",Enucleation of both eyes,Enucleation of the right eye and conservative management for the other eye,Enucleation of the right eye and focal therapy for the other eye,6 cycles of chemotherapy,,Ophthalmology,Retinoblastoma,"['Retinoblastoma', 'Ocular oncology', 'Paediatric ophthalmology']",llm,Retinoblastoma bilateral management,management,"['Pediatrics', 'Surgery']",collegedunia,,,,,,,,
158,2011,AIPGMEE,Ophthalmology,Trauma,Blunt eye trauma signs,"A tennis player gets hit by a ball on the eye, following which he complains of decreased vision. Which of the following suggests that the injury is due to trauma?",Optic neuritis,Pars planitis,Vitreous base detachment,Equatorial edema,,Ophthalmology,Trauma,"['Trauma', 'Retina']",llm,Eye trauma signs decreased vision,diagnosis,['Medicine'],collegedunia,,,,,,,,
159,2011,AIPGMEE,Ophthalmology,Neoplasia,Bilateral proptosis malignant causes,The most common malignant cause for bilateral proptosis in children is?,Lymphoblastic lymphoma,Rhabdomyosarcoma,Acute lymphoblastic leukaemia,Acute myeloid leukaemia,,Ophthalmology,Neoplasia,"['Neoplasia', 'Ocular oncology', 'Paediatric ophthalmology']",llm,Bilateral proptosis children malignant,epidemiology,"['Pediatrics', 'Medicine']",collegedunia,,,,,,,,
160,2011,AIPGMEE,Ophthalmology,Neoplasia,Bilateral proptosis causes,Which of the following most commonly presents with bilateral proptosis in children?,Cavernous haemangioma,Chloroma,Fibrous histiocytoma,Pleomorphic adenoma,,Ophthalmology,Neoplasia,"['Neoplasia', 'Ocular oncology', 'Paediatric ophthalmology']",llm,Bilateral proptosis children common,epidemiology,"['Pediatrics', 'Medicine']",collegedunia,,,,,,,,
161,2011,AIPGMEE,Ophthalmology,Retina,Retinal detachment symptoms,A patient presented with sudden onset of floaters and a sensation of a curtain falling in front of the eye. Which one of the following is the appropriate diagnosis?,Retinal detachment,Eales disease,Vitreous haemorrhage,Macular hole,,Ophthalmology,Retina,"['Retina', 'Retina', 'Emergency Medicine']",llm,Retinal detachment presentation,diagnosis,['Medicine'],collegedunia,,,,,,,,
162,2011,AIPGMEE,Medicine,Headache Disorders,Ophthalmoplegic migraine definition,Ophthalmoplegic migraine is defined by which one of the following?,Headache with irreversible loss of ophthalmic nerve function,Recurrent transient 3rd nerve palsy associated with headache,"Recurrent transient 3rd, 4th and 6th nerve palsy associated with headache",Headache with optic neuritis,,Medicine,Headache Disorders,"['Headache disorders', 'Neurology', 'Squint & Pediatric Ophthalmology']",llm,Ophthalmoplegic migraine features,diagnosis,['Ophthalmology'],collegedunia,,,,,,,,
163,2011,AIPGMEE,Ophthalmology,Retina,Diabetic retinopathy drugs,Which of the following drugs is NOT used for the medical treatment of diabetic retinopathy?,Tamoxifen,Benfotiamine,Pyridazinones,Ruboxistaurin,,Ophthalmology,Retina,"['Retina', 'Diabetic retinopathy', 'Endocrine Pharmacology']",llm,Diabetic retinopathy medical treatment,drug_of_choice,"['Pharmacology', 'Medicine']",collegedunia,,,,,,,,
164,2011,AIPGMEE,Medicine,Headache Disorders,Basilar migraine presentation,A girl presented with recurrent occipital headache associated with ataxia and vertigo. Her mother also has similar complaints. The most probable diagnosis is?,Vestibular neuronitis,Basilar migraine,Tension headache,Cluster headache,,Medicine,Headache Disorders,"['Headache disorders', 'Neurology', 'Genetics & Molecular Biology']",llm,Basilar migraine diagnosis,diagnosis,[],collegedunia,,,,,,,,
165,2011,AIPGMEE,Physiology,Hematopathology,High altitude polycythemia,A 32-year-old mountaineer has a haematocrit of 70%. What is the possible explanation?,Polycythemia with relative dehydration,High altitude cerebral oedema,High altitude pulmonary oedema,Haemodilution,,Physiology,Hematopathology,"['Hematopathology', 'Hematopathology', 'Environmental Physiology']",llm,High altitude hematocrit increase,other,['Medicine'],collegedunia,,,,,,,,
166,2011,AIPGMEE,Pharmacology,Antimicrobial Drugs,Tetracycline prophylaxis,Tetracycline is used in the prophylaxis of which of the following diseases?,Cholera,Brucellosis,Leptospirosis,Meningitis,,Pharmacology,Antimicrobial Drugs,"['Antimicrobial drugs', 'Antimicrobials', 'Microbiology']",llm,Tetracycline prophylactic uses,drug_of_choice,"['Microbiology', 'Medicine']",collegedunia,,,,,,,,
167,2011,AIPGMEE,Biochemistry,Genetics & Molecular Biology,Punnett square use,A Punnett square is used for which of the following?,Finding the genotype of offspring,Statistical analysis,Anatomical surface area of the human body,Diseased and non-diseased individuals,,Biochemistry,Genetics & Molecular Biology,"['Genetics & Molecular Biology', 'Genetics & Molecular Biology']",llm,Punnett square application,other,[],collegedunia,,,,,,,,
168,2011,AIPGMEE,Pathology,Pulmonology,Lung cavitation causes,Cavitation is seen in?,Mycoplasma pneumonia,Tuberculous pneumonia,Streptococcal pneumonia,Staphylococcus pneumonia,,Pathology,Pulmonology,"['Pulmonology', 'Lung pathology', 'Microbiology']",llm,Cavitation in pneumonia,diagnosis,"['Microbiology', 'Medicine']",collegedunia,,,,,,,,
169,2011,AIPGMEE,Biochemistry,Endocrinology,pseudohypoparathyroidism,"In pseudohypoparathyroidism, which of the following is true?",Gain of function mutation in Gs&alpha;,Decreased conversion of GTP to GMP,Decreased inositol triphosphate production,Decreased formation of cAMP,,Biochemistry,Endocrinology,"['Endocrinology', 'Signal Transduction']",llm,Pseudohypoparathyroidism cAMP defect,mechanism,['Medicine'],collegedunia,,,,,,,,
170,2011,AIPGMEE,Pathology,Thyroid Pathology,follicular thyroid neoplasm,The difference between follicular carcinoma and follicular adenoma of the thyroid is?,Vascular invasion,Mitosis,Nuclear pleomorphism,Tubule formation,,Pathology,Thyroid Pathology,"['Thyroid Pathology', 'Endocrine', 'Thyroid Neoplasms']",llm,Follicular carcinoma vs adenoma,diagnosis,['Surgery'],collegedunia,,,,,,,,
171,2011,AIPGMEE,Medicine,Rheumatology,antiphospholipid syndrome diagnosis,Which among the following is used for the diagnosis of antiphospholipid antibody syndrome?,Beta 2 microglobulin antibody,Anti nuclear antibody,Anti centromere antibody,Anti beta 2 glycoprotein I antibody,,Medicine,Rheumatology,"['Rheumatology', 'Autoimmune Diseases']",llm,Antiphospholipid syndrome antibodies,investigation,"['Pathology', 'Microbiology']",collegedunia,,,,,,,,
172,2011,AIPGMEE,Radiology,Chest Radiology,pulmonary plethora CXR,Which is the most reliable objective sign for identifying pulmonary plethora on a chest X-ray?,Diameter of the main pulmonary artery >16 mm,Diameter of the left pulmonary artery >16 mm,Diameter of the descending right pulmonary artery >16 mm,Diameter of the descending left pulmonary artery >16 mm,,Radiology,Chest Radiology,"['Chest Radiology', 'Pulmonary Imaging']",llm,Pulmonary plethora CXR sign,image_identification,['Medicine'],collegedunia,,,,,,,,
173,2011,AIPGMEE,Pathology,Lymph Node Pathology,necrotizing lymphadenitis causes,Necrotizing lymphadenitis is seen in?,Kimura disease,Kikuchi disease,Hodgkin disease,Castleman disease,,Pathology,Lymph Node Pathology,"['Lymph Node Pathology', 'Inflammatory Disorders']",llm,Necrotizing lymphadenitis etiology,diagnosis,['Medicine'],collegedunia,,,,,,,,
174,2011,AIPGMEE,Biochemistry,Mitochondrial Disorders,NARP syndrome type,NARP syndrome is seen in which type of disorder?,Mitochondrial function disorder,Glycogen storage disorder,Lysosomal storage disorder,Lipid storage disorder,,Biochemistry,Mitochondrial Disorders,"['Mitochondrial Disorders', 'Metabolic Disorders', 'Mitochondrial Diseases']",llm,NARP syndrome mitochondrial disorder,diagnosis,"['Medicine', 'Pediatrics']",collegedunia,,,,,,,,
175,2011,AIPGMEE,Medicine,Pulmonology,SVC syndrome causes,Superior vena cava syndrome is most commonly caused by?,Lymphoma,Small cell lung carcinoma,Non small cell lung carcinoma,Secondary tumours,,Medicine,Pulmonology,"['Pulmonology', 'Gynecologic Oncology']",llm,SVC syndrome etiology,epidemiology,['Radiology'],collegedunia,,,,,,,,
176,2011,AIPGMEE,Medicine,Vitamins & Nutrition,parenteral nutrition components,Which of the following is not included in parenteral nutrition?,Fat,Carbohydrate,Fibres,Micronutrients,,Medicine,Vitamins & Nutrition,"['Vitamins & Nutrition', 'Critical Care']",llm,Parenteral nutrition composition,management,"['Surgery', 'Biochemistry']",collegedunia,,,,,,,,
177,2011,AIPGMEE,Medicine,Renal,Pheochromocytoma features,All are true about pheochromocytoma except?,90% are malignant,95% occur in the abdomen,They secrete catecholamines,They arise from sympathetic ganglions,,Medicine,Renal,"['Renal', 'Endocrinology', 'Renal']",llm,Pheochromocytoma characteristics,other,[],collegedunia,,,,,,,,
178,2011,AIPGMEE,Anaesthesia,Intraoperative Complications,Intraoperative MI diagnosis,Intraoperative myocardial infarction is best diagnosed by:,ECG,Invasive arterial pressure,Central venous pressure,Transoesophageal echocardiography,,Anaesthesia,Intraoperative Complications,"['Intraoperative Complications', 'Cardiology', 'Intraoperative Monitoring']",llm,Intraoperative MI diagnosis,investigation,['Medicine'],collegedunia,,,,,,,,
179,2011,AIPGMEE,Medicine,Ischemic Heart Disease,ECG ischaemia detection,ECG is poor at detecting ischaemia in areas supplied by?,Left anterior descending artery,Left circumflex artery,Left coronary artery,Right coronary artery,,Medicine,Ischemic Heart Disease,"['Ischemic Heart Disease', 'Cardiology', 'ECG']",llm,ECG ischaemia detection limitations,other,['Physiology'],collegedunia,,,,,,,,
180,2011,AIPGMEE,Microbiology,Infectious Diseases,Chronic otitis media microbiology,A patient with a history of discharge from the right ear for the past 1 year presented with severe earache. The discharge was cultured and the organism was found to be gram positive cocci. CT scan shows ring enhancement. The least likely cause is?,Pseudomonas,Streptococcus pneumoniae,Staphylococcus,Haemophilus influenzae,,Microbiology,Infectious Diseases,"['Infectious Diseases', 'Bacteriology', 'Environment & Occupational Health']",llm,Ear infection microbiology diagnosis,diagnosis,"['ENT', 'Radiology']",collegedunia,,,,,,,,
181,2011,AIPGMEE,Pediatrics,Neonatal Seizures,Pseudohypoparathyroidism diagnosis,"A 15 day old baby came with a history of seizures. Blood tests revealed Ca 5 mg/dl, PO4 9 mg/dl, PTH 30 pg/ml (normal 10 to 60). What is the most probable diagnosis?",Pseudohypoparathyroidism,Vitamin D deficiency,Hyperparathyroidism,Hypoxic ischaemic encephalopathy,,Pediatrics,Neonatal Seizures,"['Neonatal Seizures', 'Neonatology', 'Endocrinology']",llm,Neonatal hypocalcemia diagnosis,diagnosis,"['Biochemistry', 'Medicine']",collegedunia,,,,,,,,
182,2011,AIPGMEE,Medicine,Endocrine,Insulinoma diagnosis,Which among the following is not used in the diagnosis of insulinoma?,Fasting glucose test,Xylulose test,C-peptide levels,Insulin / glucose ratio,,Medicine,Endocrine,"['Endocrine', 'Endocrinology', 'Pancreatic Disorders']",llm,Insulinoma diagnostic tests,investigation,['Biochemistry'],collegedunia,,,,,,,,
183,2011,AIPGMEE,Pediatrics,Hypoglycemia In Children,Nesidioblastosis characteristics,All are true about nesidioblastosis except:,Hypoglycemic episodes are seen,Occurs in adults more than children,Histopathology shows hyperplasia of islet cells,Diazoxide is used for treatment,,Pediatrics,Hypoglycemia In Children,"['Hypoglycemia in Children', 'Endocrinology', 'Hypoglycemia']",llm,Nesidioblastosis features,other,['Medicine'],collegedunia,,,,,,,,
184,2011,AIPGMEE,ENT,Laryngeal Disorders,Laryngopharyngeal reflux diagnosis,Gold standard test for diagnosis of laryngopharyngeal reflux?,24-hour double-probe pH monitoring,Flexible endoscopy,Barium swallow,Laryngoscopy,,ENT,Laryngeal Disorders,"['Laryngeal Disorders', 'Laryngology', 'Gastroenterology']",llm,LPR diagnosis gold standard,investigation,['Medicine'],collegedunia,,,,,,,,
185,2011,AIPGMEE,Pediatrics,Growth & Development,Ambiguous genitalia causes,Least common cause of ambiguous genitalia in a female child?,Placental steroid sulfatase deficiency,Fetal aromatase deficiency,WT-4 mutation,Congenital adrenal hyperplasia,,Pediatrics,Growth & Development,"['Growth & Development', 'Neonatology', 'Endocrinology']",llm,Female ambiguous genitalia causes,diagnosis,['OBG'],collegedunia,,,,,,,,
186,2011,AIPGMEE,Medicine,Hypothyroidism Management,Hypothyroidism treatment in IHD,What will you give to treat hypothyroidism in a patient with ischemic heart disease?,Low dose of levothyroxine,Normal dose of levothyroxine,Do not give levothyroxine,Thyroid extract,,Medicine,Hypothyroidism Management,"['Hypothyroidism management', 'Endocrinology', 'Cardiology']",llm,Hypothyroidism IHD treatment,management,['Pharmacology'],collegedunia,,,,,,,,
187,2011,AIPGMEE,Medicine,Neuromuscular Disorders,Myasthenia Gravis diagnosis,"A 35-year-old female has proximal weakness of muscles, ptosis and easy fatiguability. The best test to diagnose her condition is:",Muscle biopsy,CPK,Edrophonium test,EMG,,Medicine,Neuromuscular Disorders,"['Neuromuscular disorders', 'Neurology']",llm,Myasthenia Gravis diagnostic test,investigation,[],collegedunia,,,,,,,,
188,2011,AIPGMEE,Physiology,Lung Mechanics,Pulmonary compliance factors,Compliance is decreased in all except:,Pulmonary congestion,COPD,Decreased surfactant,Pulmonary fibrosis,,Physiology,Lung Mechanics,"['Lung mechanics', 'Pulmonology']",llm,Lung compliance decrease causes,other,['Medicine'],collegedunia,,,,,,,,
189,2011,AIPGMEE,Medicine,Neurodegenerative Disorders,Creutzfeldt-Jakob disease,"A 70-year-old patient presents with intermittent myoclonic jerks of recent onset, and the EEG shows bilateral periodic spike-wave complexes. What is the most probable diagnosis?",Herpes simplex encephalitis,Lewy body dementia,Alzheimer's disease,Creutzfeldt-Jakob disease,,Medicine,Neurodegenerative Disorders,"['Neurodegenerative disorders', 'Neurology', 'Infectious Diseases']",llm,CJD EEG myoclonic jerks,diagnosis,['Pathology'],collegedunia,,,,,,,,
190,2011,AIPGMEE,Pathology,Molecular Pathology,Protein misfolding diseases,Which of the following is NOT a disorder of protein misfolding?,Alzheimer's disease,Tuberculosis,Cystic fibrosis,Creutzfeldt-Jakob disease,,Pathology,Molecular Pathology,"['Molecular pathology', 'Systemic Pathology', 'Biochemistry']",llm,Protein misfolding disease examples,other,['Biochemistry'],collegedunia,,,,,,,,
191,2011,AIPGMEE,Pediatrics,Portal Hypertension,Pediatric portal hypertension causes,"A 12-year-old boy presents with hematemesis, melena and splenomegaly. What is the most probable diagnosis?",Non-cirrhotic portal fibrosis,Cirrhosis,Malaria with DIC,Extrahepatic portal venous obstruction,,Pediatrics,Portal Hypertension,"['Portal hypertension', 'Neonatology', 'Gastroenterology']",llm,Pediatric portal hypertension causes,diagnosis,['Medicine'],collegedunia,,,,,,,,
192,2011,AIPGMEE,Medicine,Diabetes Insipidus,Diabetes Insipidus diagnosis,"About diabetes insipidus, all of the following are true EXCEPT:",The water deprivation test is diagnostic,"Before doing the test, hypoadrenalism",Hypothyroidism does not affect the diagnostic test,Pre-test serum osmolality of 288 mOsm/kg is in the normal range,,Medicine,Diabetes Insipidus,"['Diabetes Insipidus', 'Endocrinology', 'CNS Physiology']",llm,Diabetes Insipidus diagnostic tests,other,['Physiology'],collegedunia,,,,,,,,
193,2011,AIPGMEE,Medicine,Acute Lymphoblastic Leukemia,ALL prognostic factors,Which of the following is a poor prognostic factor in acute lymphoblastic leukemia (ALL)?,Hyperdiploidy,t,Age 2 to 8 years,Total leukocyte count < 50000,,Medicine,Acute Lymphoblastic Leukemia,"['Acute Lymphoblastic Leukemia', 'Hematopathology', 'Gynecologic Oncology']",llm,ALL poor prognostic factors,diagnosis,"['Pediatrics', 'Pathology']",collegedunia,,,,,,,,
194,2011,AIPGMEE,Physiology,Acid-Base Disorders,Respiratory alkalosis compensation,"The acid-base status of a patient is as follows: pH 7.45, pCO2 30 mm Hg, pO2 105 mm Hg. The patient has partially compensated:",Metabolic acidosis,Metabolic alkalosis,Respiratory acidosis,Respiratory alkalosis,,Physiology,Acid-Base Disorders,"['Acid-Base Disorders', 'Acid-Base Balance', 'Respiration']",llm,Partially compensated respiratory alkalosis,diagnosis,['Medicine'],collegedunia,,,,,,,,
195,2011,AIPGMEE,Microbiology,Bacterial Vaginosis,Clue cells,Clue cells are seen in:,Bacterial vaginosis,Vaginal candidiasis,Chlamydial vaginosis,Trichomoniasis,,Microbiology,Bacterial Vaginosis,"['Bacterial Vaginosis', 'Bacteriology', 'Reproductive']",llm,Clue cells in bacterial vaginosis,diagnosis,"['OBG', 'Pathology']",collegedunia,,,,,,,,
196,2011,AIPGMEE,Pathology,Thalassemia,HbH disease genetics,Hemoglobin H (HbH) disease is seen in which of the following?,Deletion of 3 alpha genes,Deletion of all 4 alpha genes,Deletion of 3 beta genes,Deletion of all 4 beta genes,,Pathology,Thalassemia,"['Thalassemia', 'Hematopathology', 'Genetic Disorders']",llm,Hemoglobin H disease alpha thalassemia,diagnosis,"['Biochemistry', 'Pediatrics']",collegedunia,,,,,,,,
197,2011,AIPGMEE,Medicine,Complex Regional Pain Syndrome,CRPS type 1 presentation,A 50 year old woman has a history of a sprained ankle 2 months back followed by apparent recovery. She now complains of severe pain in that ankle with inability to flex the foot. On local examination the physician notes edema and shiny skin. What is the probable diagnosis?,Fibromyalgia,Complex regional pain syndrome type 1,Complex regional pain syndrome type 2,Peripheral neuropathy,,Medicine,Complex Regional Pain Syndrome,"['Complex Regional Pain Syndrome', 'Neurology', 'Pain Syndromes']",llm,CRPS post ankle sprain,diagnosis,"['Orthopedics', 'Anaesthesia']",collegedunia,,,,,,,,
198,2011,AIPGMEE,Pharmacology,Magnesium Toxicity,Magnesium toxicity signs,Which among the following is an early sign of magnesium toxicity?,Depression of deep tendon reflexes,Respiratory depression,Cardiac arrest,Decreased urine output,,Pharmacology,Magnesium Toxicity,"['Magnesium Toxicity', 'Toxicology', 'Electrolyte Imbalance']",llm,Early magnesium toxicity signs,diagnosis,"['Medicine', 'Medicine']",collegedunia,,,,,,,,
199,2011,AIPGMEE,Surgery,Gastrointestinal,achlorhydria association,Which of the following is true about gastric carcinoma?,Occult bleeding in stool is not seen,It is associated with achlorhydria or hypochlorhydria,It is always squamous cell carcinoma,It is radiosensitive,,Surgery,Gastrointestinal,"['Gastrointestinal', 'Gastric carcinoma']",llm,Gastric cancer achlorhydria,other,['Pathology'],collegedunia,,,,,,,,
